title,link,date,summary
Російська армія почала штурм Селидового. Чим важливе це місто,https://www.bbc.com/ukrainian/articles/czd51v45r6do,25 жовтня 2024,Ще одне місто на Донеччині може впасти в найближчі тижні. Росія зосередила велику кількість військ для його захоплення
"Путін каже, що отримав ""секретну пропозицію"" від України. Чи справді це так?",https://www.bbc.com/ukrainian/articles/cm2z9eeyp4yo,25 жовтня 2024,Путін знову звинуватив Україну в зриві домовленостей. Про що йдеться цього разу?
"""Путін хоче зберегти Україну в сірій зоні"", — замгенсекретар альянсу в інтерв'ю BBC",https://www.bbc.com/ukrainian/articles/c0mzny3ggzno,24 жовтня 2024,"Минулого тижня Зеленський поставив питання так: якщо ""план перемоги"" підтримають союзники, війна з Росією може закінчитися вже наступного року. В результаті його пропозиції стали чи не головною темою обговорення на світовій політичній арені і в пресі. Дискусія про підтримку України ведеться на тлі зміни керівництва НАТО. У жовтні Марк Рютте, колишній прем'єр Нідерландів, змінив на посаді генерального секретаря альянсу Єнса Столтенберга. Обов'язки його заступника з вересня займає 62-річний Борис Руге. BBC зустрілася з ним на полях ""Ризької конференції"", де обговорювали майбутнє України, НАТО та європейської безпеки."
Південна Корея може відправити військових в Україну - ЗМІ,https://www.bbc.com/ukrainian/articles/c62g20p374go,22 жовтня 2024,"Південна Корея може направити в Україну військових і розвідників після того, як КНДР відправила свої війська для підтримки Росії у війні, повідомляє Newsweek з посиланням на південнокорейські ЗМІ."
Встигнути до зими. Де ще наступає Росія і де Україна її зупинила,https://www.bbc.com/ukrainian/articles/cp8l832e09ro,22 жовтня 2024,"Виглядає так, що російські сили пробують вичавити максимальний результат до настання сезону холодів і дощів."
"Трамп каже, що погрожував Путіну ""ударом по бісовій Москві"". Як на це відреагували у Росії",https://www.bbc.com/ukrainian/articles/c3vkvkr3enzo,21 жовтня 2024,Чи справді Трамп прямо погрожував Путіну і що думають про це в Кремлі?
"""Прощальна поїздка Байдена"": чому Європа може стати вразливою після кінця його президенства",https://www.bbc.com/ukrainian/articles/c4g51nzqe0lo,19 жовтня 2024,"Екперти кажуть, що дні щедрості США закінчаться, як тільки нинішній президент піде у відставку в січні. Ось як минув його короткий візит у Німеччину"
"""Вдома"": в Україну повернувся Максим Буткевич та чоловік Мар'яни Чечелюк",https://www.bbc.com/ukrainian/articles/c1e8xyy8l70o,19 жовтня 2024,"Уперше вдалося обміняти військових, що отримали вироки в судах Росії - на тривалі терміни або довічне ув'язнення. Серед них - Максим Буткевич та Сергій Алексєєвич, коханий Мар'яни Чечелюк. Загалом обмінли 95 військовослужбовців, серед яких 34 захисники Азовсталі."
Північна Корея відправила тисячі своїх військових на війну з Україною - Сеул,https://www.bbc.com/ukrainian/articles/c5yjn373l7lo,18 жовтня 2024,КНДР почала надсилати своїх військових воювати проти України на російському боці.
"""Це концтабір"". Історія морпіха, який рік мовчав у російському полоні",https://www.bbc.com/ukrainian/articles/cm28g5p51zdo,18 жовтня 2024,Морпіх Юрій Гульчук провів у полоні два з половиною роки. З них майже половину часу він зберігав мовчання.
Розрізали плацдарм ЗСУ: що відомо про наступ російської армії на Куп'янськ,https://www.bbc.com/ukrainian/articles/cx25zgd9l0no,16 жовтня 2024,"Російські війська просунулися під Куп'янськом, що у Харківській області."
Зеленський представив українцям свій план перемоги. У ньому 5 пунктів і секретні додатки,https://www.bbc.com/ukrainian/articles/ce3w08447eno,16 жовтня 2024,"Володимир Зеленський виступив перед Верховною Радою. Він публічно представив план, про який вперше згадав наприкінці серпня і який вже обговорив з деякими ключовими союзниками."
За що хвалять і критикують військового-дронаря Олега Ляшка,https://www.bbc.com/ukrainian/articles/c0qzv3g1p85o,15 жовтня 2024,Розповідаємо про шлях Олега Ляшка у політиці та в армії. За що його хвалять та критикують у ЗСУ.
"""Страшно. Але народжувати теж страшно"". Як ""Бучанські відьми"" збивають російські шахеди",https://www.bbc.com/ukrainian/articles/c9dy80d6q8lo,15 жовтня 2024,"""Бучанські відьми"" – так вони себе називають. Мобільна група ППО, що складається майже повністю з жінок й боронить українське небо, оскільки все більше українських чоловіків вирушають на фронт."
